OriginalVariableNames,RLS,VFF_RLS
MSE_theta1,0.567896716471618,0.0935485187324942
MSE_theta2,0.00275355120231019,0.00393229368042274
Variance_theta1,0.0491389368487489,0.473719399088525
Variance_theta2,0.00271905312702292,0.00387950660740801
Misalignment_dB,-13.2546776288668,-16.3970758975281
